"person_id","household_id","year_born","sex","employed","retired","education","net_income","gross_income"
21603,216,1974,2,1,0,500,0,0
21701,217,1946,2,0,1,100,0,0
21702,217,1973,1,1,0,200,4085,4448.3
21703,217,1977,1,1,0,200,0,0
21801,218,1968,1,1,0,300,0,0
22001,220,1971,1,1,0,500,0,0
22002,220,1976,2,1,0,500,0,0
22003,220,2005,2,0,0,NA,NA,NA
22004,220,2008,2,0,0,NA,NA,NA
22101,221,1973,1,1,0,200,17734.6,21583
22102,221,1975,2,0,0,500,0,0
22103,221,2007,2,0,0,NA,NA,NA
22201,222,1978,1,1,0,200,13072.8,15167.4
22202,222,1979,2,1,0,100,6121.9,6559.9
22203,222,2013,1,0,0,NA,NA,NA
22301,223,1941,1,0,1,100,0,0
22302,223,1932,2,0,0,0,0,0
22303,223,1947,2,0,1,100,0,0
22401,224,1936,2,0,0,0,0,0
22501,225,1963,2,0,0,200,1412.8,1542.8
22601,226,1950,2,0,0,0,0,0
22602,226,1950,1,0,1,100,0,0
22603,226,1986,1,1,0,100,17587.1,21680.2
22801,228,1991,2,1,0,344,5195.8,5662.9
22802,228,2017,1,0,0,NA,NA,NA
22803,228,1986,1,1,0,500,13526.2,14820.5
22901,229,1962,1,1,0,500,32554.6,43075.1
23001,230,1933,2,0,0,200,0,0
23101,231,1992,2,1,0,344,5387.3,5845.7
23102,231,1983,1,1,0,344,5166.5,5573.6
23103,231,1965,1,1,0,300,1142,1226.8
23201,232,1967,2,0,0,300,51.5,60.6
23202,232,1966,1,1,0,200,0,0
23203,232,1996,1,0,0,344,0,0
23204,232,2001,2,0,0,200,0,0
23301,233,1959,2,1,0,300,19199.1,23549
23401,234,1948,2,0,0,200,0,0
23501,235,1945,2,0,0,100,0,0
23502,235,1943,1,0,1,100,0,0
23503,235,1969,1,0,0,200,0,0
23601,236,1964,1,1,0,200,429.6,460.2
23602,236,1970,2,0,0,200,0,0
23603,236,1993,1,1,0,500,2394.1,2634.5
23604,236,2001,2,0,0,200,0,0
23701,237,1935,1,0,1,0,0,0
23901,239,1979,2,1,0,300,2564.9,2801.7
23902,239,1971,1,1,0,200,3038.2,3312.6
23903,239,2004,1,0,0,NA,NA,NA
23904,239,2011,2,0,0,NA,NA,NA
24001,240,1932,1,0,1,200,0,0
24002,240,1937,2,0,1,200,0,0
24101,241,1951,2,0,0,200,0,0
24102,241,1951,1,0,1,200,0,0
24201,242,1939,2,0,0,0,0,0
24401,244,1956,2,0,0,100,0,0
24402,244,1984,2,0,0,100,292.4,314
24501,245,1964,2,1,0,0,7200,7885.04
24502,245,1957,1,1,0,200,1749.5,1867.7
24503,245,1984,1,1,0,200,9336.7,9969.9
24504,245,1992,2,1,0,200,5841.3,6339.6
24505,245,2004,2,0,0,NA,NA,NA
24601,246,1957,2,0,1,0,0,0
24602,246,1955,1,1,0,0,2205.5,2405.9
24603,246,1989,1,1,0,200,7767.9,8299.1
24701,247,1971,2,0,0,200,176.8,192.9
24702,247,1968,1,0,1,200,0,0
24703,247,2002,2,0,0,NA,NA,NA
24801,248,1970,1,1,0,500,13017.4,14170.4
24802,248,1991,2,0,0,354,444.9,485.7
24803,248,2014,2,0,0,NA,NA,NA
24901,249,1987,1,0,0,500,0,0
24902,249,1950,1,0,1,0,0,0
24903,249,1957,2,0,0,100,15689.3,19018.4
25001,250,1940,1,0,1,200,0,0
25002,250,1974,1,1,0,200,7590.3,8286.3
25003,250,1947,2,0,1,100,0,0
25004,250,1972,1,1,0,200,4092.1,4456
25101,251,1956,1,0,1,300,0,0
25102,251,1955,2,0,0,200,0,0
25201,252,1945,2,0,0,0,0,0
25202,252,1945,1,0,1,300,0,0
25203,252,1974,1,0,0,300,0,0
25301,253,1943,2,0,1,200,0,0
25401,254,1946,2,0,1,200,0,0
25501,255,1959,2,1,0,200,0,0
25502,255,1953,1,1,0,0,13335.7,14664.4
25503,255,1982,2,1,0,200,1455.4,1615.8
25504,255,1985,1,0,0,200,3072.3,3351.6
25601,256,1955,1,1,0,500,11143.9,11887.6
25602,256,1955,2,1,0,500,18976.6,24122.6
25801,258,1932,2,0,0,0,0,0
25901,259,1955,2,0,0,200,0,0
25902,259,1951,1,0,1,200,0,0
26101,261,1935,2,0,0,0,0,0
26201,262,1981,2,1,0,500,1040.2,1123.7
26202,262,1972,1,1,0,500,10993.5,11973.7
26203,262,2006,1,0,0,NA,NA,NA
26204,262,2012,2,0,0,NA,NA,NA
26301,263,1959,2,0,0,100,0,0
26302,263,1957,1,0,1,100,0,0
26401,264,1980,2,1,0,300,12549.3,13424.7
26402,264,1979,1,0,0,200,12741.9,13770.4
26403,264,2015,2,0,0,NA,NA,NA
26501,265,1933,1,0,1,0,0,0
26601,266,1983,1,1,0,200,13608.7,16121
26602,266,1980,2,0,0,200,0,0
26603,266,1999,1,0,0,200,0,0
26604,266,2010,1,0,0,NA,NA,NA
26701,267,1963,2,0,0,200,7238.57,7927.29
26702,267,1961,1,1,0,200,6252.9,6804.4
26703,267,1995,1,1,0,354,3398.6,3710.3
26704,267,2005,2,0,0,NA,NA,NA
26801,268,1977,1,1,0,500,0,0
26901,269,1963,1,0,0,200,1309.5,1644.8
26902,269,1968,2,1,0,500,32419.9,43256.3
26903,269,1995,1,0,0,500,0,0
26904,269,2001,2,0,0,200,0,0
27001,270,1933,1,0,1,500,0,0
27002,270,1942,2,0,1,300,0,0
27101,271,1974,1,1,0,200,0,0
